Threshold,Accuracy,Precision,Recall,F1,TN,FP,FN,TP
0.4,0.1005,0.1005,1.0,0.18264425261244888,0,7196,0,804
0.41,0.1005,0.1005,1.0,0.18264425261244888,0,7196,0,804
0.42,0.10075,0.1005251312828207,1.0,0.18268575323790048,2,7194,0,804
0.43,0.10075,0.1005251312828207,1.0,0.18268575323790048,2,7194,0,804
0.44,0.10075,0.1005251312828207,1.0,0.18268575323790048,2,7194,0,804
0.45,0.10075,0.10042521260630315,0.9987562189054726,0.1825,3,7193,1,803
0.46,0.101,0.10045033775331498,0.9987562189054726,0.18254148670152306,5,7191,1,803
0.47,0.1015,0.10050062578222778,0.9987562189054726,0.18262451671594268,9,7187,1,803
0.48,0.1025,0.10060135304434979,0.9987562189054726,0.18279080355110403,17,7179,1,803
0.49,0.103125,0.10066441017926539,0.9987562189054726,0.18289488668716547,22,7174,1,803
0.5,0.10425,0.1007781124497992,0.9987562189054726,0.18308253533971727,31,7165,1,803
0.51,0.10525,0.10077909022367429,0.9975124378109452,0.18306322757361332,40,7156,2,802
0.52,0.10725,0.10098212037270209,0.9975124378109452,0.18339812485707752,56,7140,2,802
0.53,0.10825,0.10068130204390613,0.9925373134328358,0.18281786941580755,68,7128,6,798
0.54,0.1095,0.1006066734074823,0.9900497512437811,0.18265259293253785,80,7116,8,796
0.55,0.11175,0.10053245436105476,0.986318407960199,0.1824666359871146,101,7095,11,793
0.56,0.113625,0.10021620246725169,0.9800995024875622,0.18183916003230646,121,7075,16,788
0.57,0.116,0.10035705177250702,0.9788557213930348,0.18204950266018968,141,7055,17,787
0.58,0.118,0.10015349194167306,0.9738805970149254,0.18162839248434237,161,7035,21,783
0.59,0.121375,0.10029536406831899,0.9713930348258707,0.18181818181818182,190,7006,23,781
0.6,0.1245,0.1001031991744066,0.9651741293532339,0.18139317438055166,220,6976,28,776
0.61,0.129,0.10015568240788791,0.9601990049751243,0.18139097744360902,260,6936,32,772
0.62,0.133625,0.09980404964075767,0.9502487562189055,0.18063600898451354,305,6891,40,764
0.63,0.13925,0.09965771458662454,0.9415422885572139,0.18023809523809523,357,6839,47,757
0.64,0.145,0.09952229299363058,0.9328358208955224,0.17985611510791366,410,6786,54,750
0.65,0.152375,0.09934307547928677,0.9216417910447762,0.1793537456129735,478,6718,63,741
0.7,0.2095,0.0982532751091703,0.8395522388059702,0.17591868647380765,1001,6195,129,675
0.75,0.33325,0.10010593220338983,0.7052238805970149,0.17532467532467533,2099,5097,237,567
0.8,0.6285,0.10894660894660894,0.3756218905472637,0.16890380313199105,4726,2470,502,302
0.85,0.8995,0.0,0.0,0.0,7196,0,804,0
0.9,0.8995,0.0,0.0,0.0,7196,0,804,0
